Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Parameter Value[Barcode kit]	Parameter Value[Barcode kit catalogue ID]	Parameter Value[Barcode name]	Parameter Value[Barcode sequence]	Performer	Date	Extract Name	Characteristics[Folder name]	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File	Library Name
RR057e_00324	Nucleic acid extraction mRNA_seq				RR057e_00324					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00324	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00324
RR057e_00340	Nucleic acid extraction mRNA_seq				RR057e_00340					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00340	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00340
RR057e_00399	Nucleic acid extraction mRNA_seq				RR057e_00399					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00399	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00399
RR057e_00401	Nucleic acid extraction mRNA_seq				RR057e_00401					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00401	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00401
RR057e_00403	Nucleic acid extraction mRNA_seq				RR057e_00403					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00403	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00403
RR057e_00410	Nucleic acid extraction mRNA_seq				RR057e_00410					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00410	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00410
RR057e_00412	Nucleic acid extraction mRNA_seq				RR057e_00412					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00412	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00412
RR057e_00414	Nucleic acid extraction mRNA_seq				RR057e_00414					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00414	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00414
RR057e_00416	Nucleic acid extraction mRNA_seq				RR057e_00416					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00416	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00416
RR057e_00418	Nucleic acid extraction mRNA_seq				RR057e_00418					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00418	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00418
RR057e_00423	Nucleic acid extraction mRNA_seq				RR057e_00423					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00423	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00423
RR057e_00427	Nucleic acid extraction mRNA_seq				RR057e_00427					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00427	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00427
RR057e_00431	Nucleic acid extraction mRNA_seq				RR057e_00431					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00431	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00431
RR057e_00436	Nucleic acid extraction mRNA_seq				RR057e_00436					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00436	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00436
RR057e_00437	Nucleic acid extraction mRNA_seq				RR057e_00437					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00437	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00437
RR057e_00440	Nucleic acid extraction mRNA_seq				RR057e_00440					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00440	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00440
RR057e_00442	Nucleic acid extraction mRNA_seq				RR057e_00442					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00442	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00442
RR057e_00449	Nucleic acid extraction mRNA_seq				RR057e_00449					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00449	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00449
RR057e_00451	Nucleic acid extraction mRNA_seq				RR057e_00451					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00451	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00451
RR057e_00454	Nucleic acid extraction mRNA_seq				RR057e_00454					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00454	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00454
RR057e_00456	Nucleic acid extraction mRNA_seq				RR057e_00456					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00456	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00456
RR057e_00460	Nucleic acid extraction mRNA_seq				RR057e_00460					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00460	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00460
RR057e_00475	Nucleic acid extraction mRNA_seq				RR057e_00475					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00475	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00475
RR057e_00485	Nucleic acid extraction mRNA_seq				RR057e_00485					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00485	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00485
RR057e_00488	Nucleic acid extraction mRNA_seq				RR057e_00488					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00488	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00488
RR057e_00489	Nucleic acid extraction mRNA_seq				RR057e_00489					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00489	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00489
RR057e_00491	Nucleic acid extraction mRNA_seq				RR057e_00491					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00491	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00491
RR057e_00494	Nucleic acid extraction mRNA_seq				RR057e_00494					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00494	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00494
RR057e_00504	Nucleic acid extraction mRNA_seq				RR057e_00504					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00504	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00504
RR057e_00505	Nucleic acid extraction mRNA_seq				RR057e_00505					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00505	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00505
RR057e_00508	Nucleic acid extraction mRNA_seq				RR057e_00508					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00508	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00508
RR057e_00512	Nucleic acid extraction mRNA_seq				RR057e_00512					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00512	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00512
RR057e_00515	Nucleic acid extraction mRNA_seq				RR057e_00515					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00515	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00515
RR057e_00516	Nucleic acid extraction mRNA_seq				RR057e_00516					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00516	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00516
RR057e_00520	Nucleic acid extraction mRNA_seq				RR057e_00520					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00520	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00520
RR057e_00534	Nucleic acid extraction mRNA_seq				RR057e_00534					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00534	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00534
RR057e_00540	Nucleic acid extraction mRNA_seq				RR057e_00540					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00540	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00540
RR057e_00549	Nucleic acid extraction mRNA_seq				RR057e_00549					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00549	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00549
RR057e_00560	Nucleic acid extraction mRNA_seq				RR057e_00560					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00560	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00560
RR057e_00567	Nucleic acid extraction mRNA_seq				RR057e_00567					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00567	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00567
RR057e_00577	Nucleic acid extraction mRNA_seq				RR057e_00577					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00577	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00577
RR057e_00581	Nucleic acid extraction mRNA_seq				RR057e_00581					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00581	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00581
RR057e_00586	Nucleic acid extraction mRNA_seq				RR057e_00586					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00586	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00586
RR057e_00590	Nucleic acid extraction mRNA_seq				RR057e_00590					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00590	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00590
RR057e_00719	Nucleic acid extraction mRNA_seq				RR057e_00719					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00719	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00719
RR057e_00721	Nucleic acid extraction mRNA_seq				RR057e_00721					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00721	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00721
RR057e_00723	Nucleic acid extraction mRNA_seq				RR057e_00723					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00723	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00723
RR057e_00724	Nucleic acid extraction mRNA_seq				RR057e_00724					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00724	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00724
RR057e_00726	Nucleic acid extraction mRNA_seq				RR057e_00726					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00726	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00726
RR057e_00727	Nucleic acid extraction mRNA_seq				RR057e_00727					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00727	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00727
RR057e_00728	Nucleic acid extraction mRNA_seq				RR057e_00728					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00728	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00728
RR057e_00729	Nucleic acid extraction mRNA_seq				RR057e_00729					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00729	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00729
RR057e_00731	Nucleic acid extraction mRNA_seq				RR057e_00731					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00731	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00731
RR057e_00733	Nucleic acid extraction mRNA_seq				RR057e_00733					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00733	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00733
RR057e_00735	Nucleic acid extraction mRNA_seq				RR057e_00735					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00735	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00735
RR057e_00736	Nucleic acid extraction mRNA_seq				RR057e_00736					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00736	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00736
RR057e_00737	Nucleic acid extraction mRNA_seq				RR057e_00737					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00737	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00737
RR057e_00741	Nucleic acid extraction mRNA_seq				RR057e_00741					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00741	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00741
RR057e_00742	Nucleic acid extraction mRNA_seq				RR057e_00742					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00742	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00742
RR057e_00743	Nucleic acid extraction mRNA_seq				RR057e_00743					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00743	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00743
RR057e_00744	Nucleic acid extraction mRNA_seq				RR057e_00744					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00744	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00744
RR057e_00746	Nucleic acid extraction mRNA_seq				RR057e_00746					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00746	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00746
RR057e_00747	Nucleic acid extraction mRNA_seq				RR057e_00747					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00747	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00747
RR057e_00748	Nucleic acid extraction mRNA_seq				RR057e_00748					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00748	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00748
RR057e_00749	Nucleic acid extraction mRNA_seq				RR057e_00749					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00749	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00749
RR057e_00750	Nucleic acid extraction mRNA_seq				RR057e_00750					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00750	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00750
RR057e_00751	Nucleic acid extraction mRNA_seq				RR057e_00751					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00751	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00751
RR057e_00752	Nucleic acid extraction mRNA_seq				RR057e_00752					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00752	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00752
RR057e_00753	Nucleic acid extraction mRNA_seq				RR057e_00753					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00753	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00753
RR057e_00754	Nucleic acid extraction mRNA_seq				RR057e_00754					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00754	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00754
RR057e_00755	Nucleic acid extraction mRNA_seq				RR057e_00755					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00755	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00755
RR057e_00756	Nucleic acid extraction mRNA_seq				RR057e_00756					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00756	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00756
RR057e_00757	Nucleic acid extraction mRNA_seq				RR057e_00757					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00757	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00757
RR057e_00759	Nucleic acid extraction mRNA_seq				RR057e_00759					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00759	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00759
RR057e_00761	Nucleic acid extraction mRNA_seq				RR057e_00761					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00761	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00761
RR057e_00762	Nucleic acid extraction mRNA_seq				RR057e_00762					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00762	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00762
RR057e_00763	Nucleic acid extraction mRNA_seq				RR057e_00763					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00763	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00763
RR057e_00764	Nucleic acid extraction mRNA_seq				RR057e_00764					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00764	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00764
RR057e_00765	Nucleic acid extraction mRNA_seq				RR057e_00765					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057e_00765	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057e_00765
RR057i_00062	Nucleic acid extraction mRNA_seq				RR057i_00062					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00062	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00062
RR057i_00064	Nucleic acid extraction mRNA_seq				RR057i_00064					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00064	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00064
RR057i_00067	Nucleic acid extraction mRNA_seq				RR057i_00067					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00067	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00067
